repo,commit,cve_ids,n_pairs,event_id,ground_truth_policy,mean_delta_composite,median_delta_composite,positive_share
php-src,6a7cc8ff85827fa9ac715b3a83c2d9147f33cd43,CVE-2016-7411,2,CVE-2016-7411,strict_nvd_event,-0.029209910763381253,-0.029209910763381253,0.0
php-src,ecb7f58a069be0dec4a6131b6351a761f808f22e,CVE-2016-7417,1,CVE-2016-7417,strict_nvd_event,-0.031262106797520506,-0.031262106797520506,0.0
php-src,2938329ce19cb8c4197dec146c3ec887c6f61d01,CVE-2013-7226,1,CVE-2013-7226,strict_nvd_event,-0.03259282190418905,-0.03259282190418905,0.0
php-src,2938329ce19cb8c4197dec146c3ec887c6f61d01,CVE-2014-2020,1,CVE-2014-2020,strict_nvd_event,-0.03259282190418905,-0.03259282190418905,0.0
php-src,28022c9b1fd937436ab67bb3d61f652c108baf96,CVE-2016-7126,1,CVE-2016-7126,strict_nvd_event,-0.03294632115440521,-0.03294632115440521,0.0
php-src,0da8b8b801f9276359262f1ef8274c7812d3dfda,CVE-2016-5094,1,CVE-2016-5094,strict_nvd_event,-0.038782904184358646,-0.038782904184358646,0.0
php-src,1a23ebc1fff59bf480ca92963b36eba5c1b904c4,CVE-2017-12932,1,CVE-2017-12932,strict_nvd_event,-0.045165858862062314,-0.045165858862062314,0.0
php-src,28a6ed9f9a36b9c517e4a8a429baf4dd382fc5d5,CVE-2016-3132,1,CVE-2016-3132,strict_nvd_event,-0.0464046204089239,-0.0464046204089239,0.0
php-src,16b3003ffc6393e250f069aa28a78dc5a2c064b2,CVE-2016-10161,1,CVE-2016-10161,strict_nvd_event,-0.05414872533655046,-0.05414872533655046,0.0
php-src,fb58e69a84f4fde603a630d2c9df2fa3be16d846,CVE-2013-3735,1,CVE-2013-3735,strict_nvd_event,-0.06700183585922992,-0.06700183585922992,0.0
redis,b351d5a3210e61cc3b22ba38a723d6da8f3c298a,CVE-2024-31227,1,CVE-2024-31227,strict_nvd_event,0.03469218378841099,0.03469218378841099,1.0
redis,48e0d4788434833b47892fe9f3d91be7687f25c9,CVE-2023-28425,1,CVE-2023-28425,strict_nvd_event,0.026264624643754453,0.026264624643754453,1.0
redis,5674b0057ff2903d43eaff802017eddf37c360f8,CVE-2021-32675,3,CVE-2021-32675,strict_nvd_event,0.02199166634483163,0.011659450586207543,1.0
redis,1ec82e6e97e1db06a72ca505f9fbf6b981f31ef7,CVE-2022-35977,2,CVE-2022-35977,strict_nvd_event,0.021770077859259135,0.021770077859259135,1.0
redis,643b5db235cb82508e72f11c7b4bbfc7dc39be56,CVE-2025-27151,1,CVE-2025-27151,strict_nvd_event,0.019567320992417037,0.019567320992417037,1.0
redis,9e505e6cd842338424e05883521ca1fb7d0f47f6,CVE-2023-41053,1,CVE-2023-41053,strict_nvd_event,0.01804549547428741,0.01804549547428741,1.0
redis,666ed7facf4524bf6d19b11b20faa2cf93fdf591,CVE-2021-32626,1,CVE-2021-32626,strict_nvd_event,0.013845800067647296,0.013845800067647296,1.0
redis,6ac3c0b7abd35f37201ed2d6298ecef4ea1ae1dd,CVE-2021-32672,1,CVE-2021-32672,strict_nvd_event,0.01364272422325824,0.01364272422325824,1.0
redis,16f408b1a0121cacd44cbf8aee275d69dc627f02,CVE-2023-22458,2,CVE-2023-22458,strict_nvd_event,0.009385592109623392,0.009385592109623392,1.0
redis,a30d367a71b7017581cf1ca104242a3c644dec0f,CVE-2021-32687,3,CVE-2021-32687,strict_nvd_event,0.006231775690701695,-0.0004743257113285493,0.3333333333333333
redis,2a2a582e7cd99ba3b531336b8bd41df2b566e619,CVE-2023-25155,3,CVE-2023-25155,strict_nvd_event,0.0059585254784509005,0.0056494282980628086,1.0
redis,46f4ebbe842620f0976a36741a72482620aa4b48,CVE-2021-31294,1,CVE-2021-31294,strict_nvd_event,0.002189924321213732,0.002189924321213732,1.0
redis,9317bf64659b33166a943ec03d5d9b954e86afb0,CVE-2024-31228,1,CVE-2024-31228,strict_nvd_event,-0.0003610384856593818,-0.0003610384856593818,0.0
redis,0bf90d944313919eb8e63d3588bf63a367f020a3,CVE-2022-3647,1,CVE-2022-3647,strict_nvd_event,-0.0038280728301460787,-0.0038280728301460787,0.0
