pair_id,repo,security_event_id,label,kind,log_loc,log_size_bytes,directory_depth,log_prior_touches_total,log_prior_touches_365d,log_total_churn,log_churn_365d,file_age_days,cyclomatic_density,halstead_volume,composite_score
33,libxml2,CVE-2016-3705,1,security,9.55506418479516,12.993506755279325,0.0,6.450470422144176,2.995732273553991,11.165578310196713,5.393627546352362,6491.9056712962965,0.21849096705632307,0.21885888457073488,0.29449745475559913
33,libxml2,CVE-2016-3705,0,bugfix,9.409027282856401,12.875859076176765,0.0,6.88653164253051,4.852030263919617,11.410925961444581,9.452109387413557,9432.395,0.19029269492498155,0.22094533656289492,0.2920912302713974
34,libxml2,CVE-2016-4658,1,security,7.878534196140362,11.250430191921488,0.0,4.2626798770413155,1.3862943611198906,9.227787285579904,4.465908118654584,5845.095324074074,0.19477074649488443,0.0366322214245816,0.28752733034633265
34,libxml2,CVE-2016-4658,0,bugfix,7.673223121121708,10.987916396687764,0.0,4.127134385045092,2.302585092994046,8.470311205516108,5.820082930352362,7550.468877314815,0.16798510935318753,0.00821490413538708,0.28375363182145874
35,libxml2,CVE-2016-5131,1,security,9.527629789180622,12.96864793618034,0.0,5.971261839790462,2.3978952727983707,10.776870783399007,3.8918202981106265,6298.866539351852,0.20672831864851088,0.21761731491074893,0.29058326257340283
35,libxml2,CVE-2016-5131,0,bugfix,9.0831885863157,12.466145825929294,0.0,6.300785794663244,3.871201010907891,10.68072309222836,8.056743774975313,9346.630011574074,0.2509937535491198,0.13509391815464317,0.2953289566349948
36,libxml2,CVE-2016-5131,1,security,7.89655270164304,11.26887742953851,0.0,4.23410650459726,0.6931471805599453,9.219498309760949,1.0986122886681098,5845.095324074074,0.19240788983997023,0.036194377373524135,0.2862507149578755
36,libxml2,CVE-2016-5131,0,bugfix,7.730174795246222,11.037161275511469,0.0,4.04305126783455,1.791759469228055,8.43750042250699,5.247024072160486,7467.5124189814815,0.1665934065934066,0.011374216604918885,0.2826294804862414
37,libxml2,CVE-2017-16931,1,security,9.555205857955418,12.998990497639108,0.0,6.472346294500901,1.9459101490553132,11.173023353045823,6.066108090103747,6871.540717592593,0.2181058298505348,0.21947568544222484,0.2944175665522143
37,libxml2,CVE-2017-16931,0,bugfix,9.055789612127585,12.441784879000238,0.0,6.363028103540465,4.418840607796598,10.775366521039471,8.91918561004543,9381.398842592593,0.24185829345161666,0.13706874068072175,0.29550462696023977
38,libxml2,CVE-2017-16931,1,security,8.302017809751204,11.672396253603171,0.0,4.189654742026425,1.0986122886681098,10.027341014703126,2.70805020110221,4361.78431712963,0.10915405606549243,0.14030120235749965,0.2678997766656262
38,libxml2,CVE-2017-16931,0,bugfix,8.25608813381491,11.709560756403642,0.0,4.499809670330265,2.5649493574615367,9.031572493381526,7.458186157340487,8088.912175925926,0.006233766233766234,0.0,0.20070685221599519
39,libxml2,CVE-2017-16932,1,security,9.54072267395999,12.987349743946275,0.0,6.498282149476434,3.1780538303479458,11.183532113813309,7.075808863978387,6921.403668981481,0.2166882276843467,0.21898245588800175,0.2941692216517403
39,libxml2,CVE-2017-16932,0,bugfix,9.056139690898883,12.442025802409482,0.0,6.359573868672378,4.394449154672439,10.775261974301756,8.918516400357067,9381.39792824074,0.24200700116686114,0.13706874068072175,0.29551649483533154
40,libxml2,CVE-2017-5969,1,security,8.735846677457582,12.170414379320876,0.0,5.517452896464707,0.6931471805599453,10.101067111719063,3.044522437723423,6715.948923611111,0.2342067191769812,0.12830883530240023,0.29219006033913186
40,libxml2,CVE-2017-5969,0,bugfix,8.705993714307901,12.136722567395381,0.0,5.783825182329737,3.784189633918261,10.235270238956767,7.824445930877619,9435.713969907407,0.2305399138787678,0.12784494582204822,0.2926641582981423
41,libxml2,CVE-2017-9047,1,security,8.73568594451502,12.169968670299292,0.0,5.5134287461649825,0.0,10.100246059905626,0.0,6713.934953703703,0.23408360128617364,0.12807707701306031,0.29208653558485154
41,libxml2,CVE-2017-9047,0,bugfix,8.763740720509464,12.276773391102893,0.0,5.91350300563827,3.6109179126442243,10.249061103403687,6.813444599510896,8627.977534722222,0.12771611692981086,0.19410476063405807,0.2794960153607896
42,libxml2,CVE-2017-9048,1,security,8.73568594451502,12.169968670299292,0.0,5.5134287461649825,0.0,10.100246059905626,0.0,6713.934953703703,0.23408360128617364,0.12807707701306031,0.29208653558485154
