repo,event_id,published_epoch,published,fixed_commit,fixed_epoch,aliases,source,event_date_source,snapshot_commit,changed_source_files_count,changed_source_files,snapshot_tag,snapshot_date,snapshot_key
curl,CVE-2017-1000254,1507104000,2017-10-04T08:00:00+00:00,5ff2c5ff25750aba1a8f64fbcad8e5b891512584,1506923417,CURL-CVE-2017-1000254;CVE-2017-1000254,explicit_id+osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,1,lib/ftp.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2017-1000257,1507795200,2017-10-12T08:00:00+00:00,13c9a9ded3ae744a1e11cbc14e9146d9fa427040,1508680963,CURL-CVE-2017-1000257;CVE-2017-1000257,explicit_id+osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,1,lib/imap.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2017-8816,1511942400,2017-11-29T08:00:00+00:00,7f2a1df6f5fc598750b2c6f34465c8d924db28cc,1511767174,CURL-CVE-2017-8816;CVE-2017-8816,explicit_id+osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,1,lib/curl_ntlm_core.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2017-8817,1511942400,2017-11-29T08:00:00+00:00,0b664ba968437715819bfe4c7ada5679d16ebbc3,1511767174,CURL-CVE-2017-8817;CVE-2017-8817,explicit_id+osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,1,lib/curl_fnmatch.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2017-8818,1511942400,2017-11-29T08:00:00+00:00,9b5e12a5491d2e6b68e0c88ca56f3a9ef9fba400,1511767165,CURL-CVE-2017-8818;CVE-2017-8818,explicit_id+osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,2,lib/url.c;lib/urldata.h,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2018-1000005,1516780800,2018-01-24T08:00:00+00:00,fa3dbb9a147488a2943bda809c66fc497efe06cb,1515656004,CURL-CVE-2018-1000005;CVE-2018-1000005,osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,1,lib/http2.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2018-1000007,1516780800,2018-01-24T08:00:00+00:00,af32cd3859336ab963591ca0df9b1e33a7ee066b,1516611600,CURL-CVE-2018-1000007;CVE-2018-1000007,osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,2,lib/http.c;lib/urldata.h,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2018-1000300,1526457600,2018-05-16T08:00:00+00:00,583b42cb3b809b1bf597af160468ccba728c2248,1526276431,CURL-CVE-2018-1000300;CVE-2018-1000300,explicit_id+osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,1,lib/pingpong.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2018-0500,1531296000,2018-07-11T08:00:00+00:00,ba1dbd78e5f1ed67c1b8d37ac89d90e5e330b628,1531116948,CURL-CVE-2018-0500;CVE-2018-0500,explicit_id+nvd_ref+osv_range+osv_ref,nvd_published+osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,1,lib/smtp.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2018-16839,1540972800,2018-10-31T08:00:00+00:00,f3a24d7916b9173c69a3e0ee790102993833d6c5,1540796723,CURL-CVE-2018-16839;CVE-2018-16839,explicit_id+nvd_ref+osv_range+osv_ref,nvd_published+osv_published,432eb5f5c254ee8383b2522ce597c9219877923e,1,lib/vauth/cleartext.c,curl-7_61_1,2018-09-04T21:49:50+00:00,curl:curl-7_61_1
