repo,security_commit,security_event_id,security_ground_truth_policy,bugfix_commit,n_pairs,mean_delta_composite,median_delta_composite,positive_share
openssl,ce325c60c74b0fa784f5872404b722e120e5cab0,CVE-2015-0204,strict_nvd_event,013e1174df1b3f8a51b393aaa22309dab66d371f,4,0.0018932888711377799,0.0008133781371043314,0.75
openssl,4ad93618d26a3ea23d36ad5498ff4f59eff3a4d2,CVE-2017-3733,strict_nvd_event,036a46d2a4b00a004d05dc6a6d19be7184f8ecf1,6,0.0016531095149379764,-0.005428616945411885,0.3333333333333333
openssl,b15f8769644b00ef7283521593360b7b2135cb63,CVE-2014-3572,strict_nvd_event,a732ff7aa20c965c21a3d6c5ee74c47aaf04dde5,1,0.0011983891502902466,0.0011983891502902466,1.0
openssl,7725e7bfe6f2ce8146b6552b44e0d226be7638e7,CVE-2022-3996,strict_nvd_event,22417bc14d6bde173425ba4f87c68be0cf394fa4,1,0.00026241669132132106,0.00026241669132132106,1.0
openssl,4c96fbba618e1940f038012506ee9e21d32ee12c,CVE-2025-68160,strict_nvd_event,7f503e882bfb6a56186fb54e4d2476df51578f07,1,-0.0011803826483564595,-0.0011803826483564595,0.0
openssl,7dfcee2cd2a63b2c64b9b4b0850be64cb695b0a0,CVE-2024-6119,strict_nvd_event,5633c8c7540ec699755bd8ef5e5ffdc6a0a6b026,1,-0.0017077588171053315,-0.0017077588171053315,0.0
openssl,310f305eb92ea8040d6b3cb75a5feeba8e6acf2f,CVE-2025-15469,strict_nvd_event,19a1ff18e4f04c89078578a17d8f0729e8004fa1,4,-0.0033218882174716885,-0.0028319907876648565,0.25
openssl,efbe126e3ebb9123ac9d058aa2bb044261342aaa,CVE-2017-3730,strict_nvd_event,869506ded60d3408c89e1950b37feb72a6970f28,1,-0.004948626651369359,-0.004948626651369359,0.0
openssl,a2dbc539f0f9cc63832709fa5aa33ad9495eb19c,CVE-2025-69421,strict_nvd_event,85f39c62f599ff55f36868004a2856c13b0b59f8,1,-0.0056473195297767065,-0.0056473195297767065,0.0
openssl,1421e0c584ae9120ca1b88098f13d6d2e90b83a3,CVE-2015-0205,strict_nvd_event,bb788ec17b8cc0dd5a1797bb68676040cea2e0aa,1,-0.006095437356621269,-0.006095437356621269,0.0
openssl,6184a4fb08ee6d7bca570d931a4e8bef40b64451,CVE-2025-66199,strict_nvd_event,e83947a4cc02376b6f96eb938af04ec5fc91ba32,1,-0.006767467560495788,-0.006767467560495788,0.0
openssl,775acfdbd0c6af9ac855f34969cdab0c0c90844a,CVE-2024-0727,strict_nvd_event,134342e194a23b1d3cc0687b05d97cfdd0f31c4a,4,-0.009098346464341475,-0.008977467786460136,0.25
openssl,898fb884b706aaeb283de4812340bb0bde8476dc,CVE-2017-3737,strict_nvd_event,a5f98e6da521934455898d49c8b2152a60b46925,1,-0.012218043814750834,-0.012218043814750834,0.0
openssl,470990fee0182566d439ef7e82d1abf18b7085d7,CVE-2014-8176,strict_nvd_event,b6ff5598539bf91608246ed81b4b534cbea6539d,1,-0.012639255739345323,-0.012639255739345323,0.0
openssl,8caf359d6e46fb413e8f5f0df765d2e8a51df4e8,CVE-2025-11187,strict_nvd_event,0e9ca38e84f60386f11d37f48297afd865328940,1,-0.015548368221682318,-0.015548368221682318,0.0
openssl,98ece4eebfb6cd45cc8d550c6ac0022965071afc,CVE-2015-1791,strict_nvd_event,5555b0577d4518473b9708430f3a21899603b434,5,-0.019222279367867905,-0.019287287883081317,0.0
