repo,snapshot_tag,snapshot_key,event_observation_id,label,file_path,opacity_stratum,composite_score,loc,log_loc,directory_depth,suffix,advisory_ids,source_families,mapping_bases,baseline_history,baseline_history_plus_structure,baseline_plus_composite,baseline_size,score_mean,score_std,score_range,history_vs_composite_gap,structure_vs_composite_gap
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/core/validators.py,0,django/core/validators.py,Q2,0.30887453723276675,418.0,6.037870919922137,2.0,.py,,,,0.024331552864535526,0.026735784331235274,0.02486287094264506,0.024452955796987683,0.025095790983850882,0.0009670996465649883,0.002404231466699748,0.0005313180781095356,0.0018729133885902124
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/core/wsgi.py,0,django/core/wsgi.py,Q9,0.49524198793655977,11.0,2.4849066497880004,2.0,.py,,,,0.0016231915230025622,0.001107668052177609,0.002250055738231451,0.0013015534119751903,0.0015706171813467031,0.0004333353269031401,0.0011423876860538421,0.0006268642152288889,0.0011423876860538421
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/db/__init__.py,0,django/db/__init__.py,Q6,0.37110097020669053,49.0,3.912023005428146,2.0,.py,,,,0.0077068727984685075,0.0064684595453772245,0.008465857265223486,0.004632125046216961,0.006818328663821545,0.0014496340770450771,0.003833732219006525,0.0007589844667549783,0.0019973977198462613
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/db/backends/base/base.py,0,django/db/backends/base/base.py,Q2,0.30039726555036533,562.0,6.333279628139691,4.0,.py,,,,0.020520698626411576,0.023113015092002386,0.02182638484793436,0.022597859933342474,0.022014489624922702,0.0009764571256495493,0.0025923164655908097,0.001305686221522783,0.0012866302440680266
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/db/backends/base/client.py,0,django/db/backends/base/client.py,Q9,0.4708521322723541,13.0,2.6390573296152584,4.0,.py,,,,0.0011434471710893852,0.0008256068303262461,0.0016017637548297623,0.0011500992349020912,0.0011802292477868712,0.00027645485094140044,0.0007761569245035161,0.00045831658374037706,0.0007761569245035161
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/db/backends/base/creation.py,0,django/db/backends/base/creation.py,Q3,0.3271714837528821,260.0,5.564520407322694,4.0,.py,,,,0.008012153566101262,0.008211844287276464,0.008999118527865481,0.012800121668791013,0.009505809512508555,0.0019374327360773553,0.004787968102689751,0.0009869649617642185,0.0007872742405890167
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/db/backends/base/features.py,0,django/db/backends/base/features.py,Q7,0.40690822822459366,203.0,5.318119993844216,4.0,.py,,,,0.02044920177035168,0.020859568525583645,0.0276363618871368,0.010945258682410346,0.019972597716370617,0.005942221805432911,0.016691103204726453,0.007187160116785121,0.006776793361553155
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/db/backends/base/introspection.py,0,django/db/backends/base/introspection.py,Q5,0.35573493222928526,152.0,5.030437921392435,4.0,.py,,,,0.006025873505861399,0.005911619379037282,0.0071908040156346345,0.00871999234483016,0.0069620723113408695,0.001131649305555669,0.002808372965792878,0.0011649305097732356,0.0012791846365973521
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/db/backends/base/operations.py,0,django/db/backends/base/operations.py,Q1,0.29767360083387717,525.0,6.26530121273771,4.0,.py,,,,0.01407676721851147,0.017057182138084517,0.014884771789303282,0.021978638628730864,0.016999339943657533,0.0030744751961841376,0.007901871410219394,0.0008080045707918124,0.0021724103487812344
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/db/backends/base/schema.py,0,django/db/backends/base/schema.py,Q2,0.31372047997833813,939.0,6.84587987526405,4.0,.py,,,,0.04437297333360946,0.04267845772852529,0.050075716788215034,0.03644351707816982,0.0433926662321299,0.0048586246639096935,0.013632199710045215,0.005702743454605572,0.0073972590596897425
