pair_id,repo,security_event_id,security_ground_truth_policy,commit,label,kind,file_path,suffix,loc,size_bytes,ci_gzip,shannon_entropy,cyclomatic_density,halstead_volume,composite_score,log_loc,log_size_bytes
39,libxml2,CVE-2016-4658,expanded_advisory_event,8c5e54d5bd042e7ac7ffd257f724477c332c535b,0,bugfix,c14n.c,.c,1803.0,68558.0,0.19208553341696083,0.7045704998185285,0.1808097615085968,0.02240016741981048,0.2886864395700677,7.4977617006225685,11.135449967400994
40,libxml2,CVE-2016-5131,expanded_advisory_event,9ab01a277d71f54d3143c2cf333c5c2e9aaedd9e,1,security,xpointer.c,.c,2687.0,78344.0,0.20316807924027366,0.6623829897432574,0.19240788983997023,0.036194377373524135,0.2862507149578755,7.89655270164304,11.26887742953851
40,libxml2,CVE-2016-5131,expanded_advisory_event,f879a0177b9f2c5f85b0bb6d30385e36c2f6e281,0,bugfix,c14n.c,.c,1803.0,68558.0,0.19208553341696083,0.7045704998185285,0.1808097615085968,0.02240016741981048,0.2886864395700677,7.4977617006225685,11.135449967400994
41,libxml2,CVE-2016-5131,expanded_advisory_event,9ab01a277d71f54d3143c2cf333c5c2e9aaedd9e,1,security,xpath.c,.c,13733.0,428757.0,0.17715395900241862,0.6046265126224075,0.20672831864851088,0.21761731491074893,0.29058326257340283,9.527629789180622,12.96864793618034
41,libxml2,CVE-2016-5131,expanded_advisory_event,041789d9ec5a0f592e200bcb7313d88ff14707e4,0,bugfix,HTMLparser.c,.c,6429.0,215595.0,0.20458266657390015,0.6125478460751359,0.12708041686109814,0.19410476063405807,0.2791460433556869,8.768729817231666,12.281161564969176
42,libxml2,CVE-2017-16931,expanded_advisory_event,e26630548e7d138d2c560844c43820b6767251e3,1,security,runtest.c,.c,4031.0,117288.0,0.1811438510333538,0.6390821451568663,0.10915405606549243,0.14030120235749965,0.2678997766656262,8.302017809751204,11.672396253603171
42,libxml2,CVE-2017-16931,expanded_advisory_event,6e1e22dc5f9f53fa8585b856662825d673938965,0,bugfix,pattern.c,.c,2149.0,59154.0,0.21562362646651115,0.6752638569077271,0.16798510935318753,0.00821490413538708,0.28375363182145874,7.673223121121708,10.987916396687764
43,libxml2,CVE-2017-9049,expanded_advisory_event,e26630548e7d138d2c560844c43820b6767251e3,1,security,runtest.c,.c,4031.0,117288.0,0.1811438510333538,0.6390821451568663,0.10915405606549243,0.14030120235749965,0.2678997766656262,8.302017809751204,11.672396253603171
43,libxml2,CVE-2017-9049,expanded_advisory_event,a846719b9cd548d3e7e09475e3f33d8ef4101412,0,bugfix,pattern.c,.c,2275.0,62140.0,0.21380753138075315,0.673089686064501,0.1665934065934066,0.011374216604918885,0.2826294804862414,7.730174795246222,11.037161275511469
44,libxml2,CVE-2017-9050,expanded_advisory_event,e26630548e7d138d2c560844c43820b6767251e3,1,security,runtest.c,.c,4031.0,117288.0,0.1811438510333538,0.6390821451568663,0.10915405606549243,0.14030120235749965,0.2678997766656262,8.302017809751204,11.672396253603171
44,libxml2,CVE-2017-9050,expanded_advisory_event,f0a703dac85ad9398f208d3237ca19c483368834,0,bugfix,dict.c,.c,777.0,22346.0,0.25064888570661414,0.7228506448383699,0.12226512226512226,0.0,0.2966409752494254,6.656726524178391,10.014447362844386
45,libxml2,CVE-2017-16931,expanded_advisory_event,e26630548e7d138d2c560844c43820b6767251e3,1,security,parser.c,.c,14117.0,441966.0,0.18879506568378562,0.5982508033142383,0.2181058298505348,0.21947568544222484,0.2944175665522143,9.555205857955418,12.998990497639108
45,libxml2,CVE-2017-16931,expanded_advisory_event,3a95572408151b5dfd9049e8b13871a941e2a7f7,0,bugfix,tree.c,.c,8638.0,254852.0,0.1881366440129958,0.6199608746502664,0.23952303774021763,0.13793783670712614,0.29518227001373704,9.064042114358884,12.448442187329274
46,libxml2,CVE-2017-9049,expanded_advisory_event,e26630548e7d138d2c560844c43820b6767251e3,1,security,parser.c,.c,14117.0,441966.0,0.18879506568378562,0.5982508033142383,0.2181058298505348,0.21947568544222484,0.2944175665522143,9.555205857955418,12.998990497639108
46,libxml2,CVE-2017-9049,expanded_advisory_event,1a865567d4910a4d4a0ea476aadc15d3e8ec9d27,0,bugfix,tree.c,.c,8567.0,253161.0,0.1877184874447486,0.619734836827172,0.24185829345161666,0.13706874068072175,0.29550462696023977,9.055789612127585,12.441784879000238
47,libxml2,CVE-2017-9050,expanded_advisory_event,e26630548e7d138d2c560844c43820b6767251e3,1,security,parser.c,.c,14117.0,441966.0,0.18879506568378562,0.5982508033142383,0.2181058298505348,0.21947568544222484,0.2944175665522143,9.555205857955418,12.998990497639108
47,libxml2,CVE-2017-9050,expanded_advisory_event,276652006218c281527b30ae56d00af4f80f7304,0,bugfix,tree.c,.c,8570.0,253222.0,0.18770880887126712,0.6196854493147075,0.24200700116686114,0.13706874068072175,0.29551649483533154,9.056139690898883,12.442025802409482
