repo,commit,parent,cve_ids,case_file,control_file,case_size_bytes,control_size_bytes,case_loc,control_loc,loc_ratio,case_composite,control_composite,delta_composite,case_ci_gzip,control_ci_gzip,delta_ci_gzip,case_entropy,control_entropy,delta_entropy,case_cc_density,control_cc_density,delta_cc_density,case_halstead,control_halstead,delta_halstead
redis,f6a40570fa63d5afdd596c78083d754081d80ae3,666ed7facf4524bf6d19b11b20faa2cf93fdf591,CVE-2021-32627;CVE-2021-32628,src/quicklist.c,src/config.c,106589,104034,2359,2026,1.1643632773938795,0.2828573935878265,0.3030139219731611,-0.020156528385334604,0.19111728227115368,0.21867850894899743,-0.027561226677843748,0.6707687257555315,0.6543560220931892,0.016412703662342265,0.1695633743111488,0.1742349457058243,-0.0046715713946755,0.06724253419714951,0.15736471874933217,-0.09012218455218265
redis,f6a40570fa63d5afdd596c78083d754081d80ae3,666ed7facf4524bf6d19b11b20faa2cf93fdf591,CVE-2021-32627;CVE-2021-32628,src/rdb.c,src/scripting.c,104800,101752,2253,2280,0.9881578947368421,0.3335255500406482,0.3169193521563507,0.016606197884297513,0.24766221374045802,0.2667269439421338,-0.01906473020167579,0.6824430455293788,0.6691837578805486,0.01325928764883022,0.23213493120284065,0.17149122807017544,0.060643703132665205,0.15793159375800148,0.1266786540694902,0.03125293968851128
redis,f6a40570fa63d5afdd596c78083d754081d80ae3,666ed7facf4524bf6d19b11b20faa2cf93fdf591,CVE-2021-32627;CVE-2021-32628,src/server.h,src/crc16_slottable.h,117818,112334,2162,829,2.6079613992762365,0.30016604622173565,0.25660282029657594,0.04356322592515971,0.28458300089969274,0.39140420531628894,-0.1068212044165962,0.6356801961892957,0.5545086922263559,0.08117150396293982,0.004162812210915819,0.0012062726176115801,0.0029565395933042384,0.3047123912114026,0.0,0.3047123912114026
redis,f6a40570fa63d5afdd596c78083d754081d80ae3,666ed7facf4524bf6d19b11b20faa2cf93fdf591,CVE-2021-32627;CVE-2021-32628,src/t_hash.c,src/latency.c,27379,27413,688,508,1.3543307086614174,0.30700446080789745,0.3273083032276151,-0.020303842419717666,0.2402936557215384,0.3037609893116405,-0.06346733359010207,0.7054638983335166,0.7412017232967444,-0.03573782496322775,0.19476744186046513,0.1437007874015748,0.05106665445889033,0.0,0.01799090900149345,-0.01799090900149345
redis,f6a40570fa63d5afdd596c78083d754081d80ae3,666ed7facf4524bf6d19b11b20faa2cf93fdf591,CVE-2021-32627;CVE-2021-32628,src/t_list.c,src/blocked.c,30386,29048,729,549,1.3278688524590163,0.3079500190177943,0.3240000348036871,-0.016050015785892824,0.24399394457974066,0.3036697879372074,-0.05967584335746673,0.6969276612696526,0.7590980880152765,-0.0621704267456239,0.2030178326474623,0.12386156648451731,0.07915626616294498,0.0,0.0,0.0
redis,f6a40570fa63d5afdd596c78083d754081d80ae3,666ed7facf4524bf6d19b11b20faa2cf93fdf591,CVE-2021-32627;CVE-2021-32628,src/t_stream.c,src/networking.c,112275,133046,2266,2758,0.8216098622189992,0.3096547267664735,0.33044461150684185,-0.02078988474036836,0.24773992429303052,0.26665213535168286,-0.018912211058652345,0.6858105375912085,0.6768932688493445,0.008917268741863937,0.18446601941747573,0.2088469905728789,-0.024380971155403164,0.07582232147267245,0.14878400338230513,-0.07296168190963268
redis,f6a40570fa63d5afdd596c78083d754081d80ae3,666ed7facf4524bf6d19b11b20faa2cf93fdf591,CVE-2021-32627;CVE-2021-32628,src/t_zset.c,src/replication.c,109070,138551,2621,2681,0.9776202909362178,0.30387307339994646,0.3194963267800368,-0.015623253380090352,0.19618593563766387,0.25996203564030573,-0.06377610000264186,0.6703978846080506,0.6991707592531073,-0.028772874645056734,0.23120946203739032,0.16150690041029467,0.06970256162709565,0.09158793788357737,0.13309168781146177,-0.0415037499278844
redis,f6a40570fa63d5afdd596c78083d754081d80ae3,666ed7facf4524bf6d19b11b20faa2cf93fdf591,CVE-2021-32627;CVE-2021-32628,src/ziplist.c,src/aof.c,70299,73305,1614,1523,1.0597504924491137,0.29309815163133646,0.3341678419435159,-0.04106969031217944,0.23577860282507576,0.27003615033080963,-0.03425754750573387,0.7002437948914593,0.6909088013603442,0.00933499353111511,0.13940520446096655,0.21864740643466843,-0.07924220197370188,0.027612440527423843,0.11649069266756876,-0.08887825214014491
redis,f6a40570fa63d5afdd596c78083d754081d80ae3,666ed7facf4524bf6d19b11b20faa2cf93fdf591,CVE-2021-32627;CVE-2021-32628,src/ziplist.h,src/endianconv.h,2927,2937,51,68,0.75,0.35290415346678894,0.37170303745370914,-0.0187988839869202,0.4062179706183806,0.4497786857337419,-0.043560715115361304,0.8130997626442614,0.808078681623338,0.005021081020923468,0.0196078431372549,0.04411764705882353,-0.02450980392156863,0.0,0.0,0.0
curl,1890d59905414ab84a35892b2e45833654aa5c13,d2bcf1e3e247d116dc96bd3ea32056e3f089449c,CVE-2017-7407,src/tool_writeout.c,lib/vauth/krb5_gssapi.c,13036,13080,354,302,1.1721854304635762,0.3052261780624119,0.3065469671111369,-0.0013207890487249574,0.19146977600490947,0.25504587155963304,-0.06357609555472357,0.7211076270808929,0.7709700544825815,-0.04986242740168856,0.23728813559322035,0.10264900662251655,0.1346391289707038,0.0,0.0,0.0
curl,39ce47f219b09c380b81f89fe54ac586c8db6bde,bbb71507b7bab52002f9b1e0880bed6a32834511,CVE-2021-22898,lib/telnet.c,lib/pop3.c,43597,45068,1331,1168,1.139554794520548,0.30931279155325453,0.2813851980590708,0.027927593494183722,0.21629928664816386,0.22838821336646845,-0.012088926718304582,0.7095084597204336,0.6391363074134241,0.07037215230700955,0.21036814425244177,0.1618150684931507,0.048553075759291076,0.042206476617281295,0.027612440527423843,0.014594036089857453
curl,76f83f0db23846e254d940ec7,1213c312722f93b7856d20c3d1a13ef39b9b214f,CVE-2025-0725,lib/content_encoding.c,lib/vauth/digest.c,31876,31812,876,836,1.0478468899521531,0.3254539516843967,0.2866615146839464,0.03879243700045032,0.25875266658300916,0.2234691311454797,0.03528353543752946,0.7281481652155237,0.7304362427334385,-0.0022880775179148216,0.20662100456621005,0.11363636363636363,0.09298464092984642,0.026678654069490194,0.0,0.026678654069490194
curl,7f4a9a9b2a49547eae24d2e19bc5c346e9026479,39ce47f219b09c380b81f89fe54ac586c8db6bde,CVE-2021-22901,lib/multi.c,lib/vssh/libssh2.c,108023,117341,2738,3027,0.9045259332672613,0.32656626049716453,0.2956645079616957,0.03090175253546884,0.25431621043666625,0.1961462745331981,0.05816993590346814,0.6930224396517052,0.6683465356705788,0.0246759039811264,0.19247626004382762,0.16749256689791872,0.024983693145908897,0.14676055500829968,0.1533329732305834,-0.006572418222283716
curl,7f4a9a9b2a49547eae24d2e19bc5c346e9026479,39ce47f219b09c380b81f89fe54ac586c8db6bde,CVE-2021-22901,lib/vtls/gskit.c,lib/tftp.c,40157,42125,1088,1140,0.9543859649122807,0.32155558846205257,0.2715885021348435,0.04996708632720909,0.23002216301018502,0.22741839762611277,0.002603765384072254,0.7162668805278894,0.6260141887579743,0.09025269176991513,0.21875,0.13771929824561405,0.08103070175438595,0.06688849842662474,0.02714630279043746,0.03974219563618728
curl,7f4a9a9b2a49547eae24d2e19bc5c346e9026479,39ce47f219b09c380b81f89fe54ac586c8db6bde,CVE-2021-22901,lib/vtls/gtls.c,lib/connect.c,51572,51680,1361,1394,0.9763271162123386,0.31953139414792475,0.33363146296286955,-0.0141000688149448,0.2457147289226712,0.2848877708978328,-0.03917304197516158,0.7167023946336819,0.7112540512551822,0.005448343378499754,0.17266715650257164,0.1800573888091822,-0.007390232306610567,0.09971794809376214,0.09971794809376214,0.0
curl,7f4a9a9b2a49547eae24d2e19bc5c346e9026479,39ce47f219b09c380b81f89fe54ac586c8db6bde,CVE-2021-22901,lib/vtls/mbedtls.c,packages/OS400/ccsidcurl.c,33419,33354,882,1097,0.8040109389243391,0.3070436918293634,0.3331798008515731,-0.026136109022209697,0.2369610102037763,0.2504946932901601,-0.013533683086383808,0.714573622596901,0.6990201241169102,0.01555349847999088,0.15192743764172337,0.2534184138559708,-0.10149097621424744,0.06724253419714951,0.07004397181410926,-0.002801437616959751
curl,7f4a9a9b2a49547eae24d2e19bc5c346e9026479,39ce47f219b09c380b81f89fe54ac586c8db6bde,CVE-2021-22901,lib/vtls/mesalink.c,lib/socks_gssapi.c,20066,20198,561,452,1.241150442477876,0.32119923616223167,0.282146629326789,0.03905260683544265,0.26512508721219974,0.2055649074165759,0.059560179795623835,0.7433457123252207,0.7168032746542576,0.026542437670963093,0.17825311942959002,0.13053097345132744,0.047722145978262576,0.0,0.0,0.0
curl,7f4a9a9b2a49547eae24d2e19bc5c346e9026479,39ce47f219b09c380b81f89fe54ac586c8db6bde,CVE-2021-22901,lib/vtls/nss.c,lib/http2.c,75548,78100,1929,2027,0.9516526887025161,0.32693506576758075,0.3070071208293589,0.019927944938221864,0.2565653624185948,0.24254801536491677,0.01401734705367802,0.6936623890770005,0.6921733198287017,0.0014890692482988355,0.17366511145671332,0.1573754316724223,0.016289679784291022,0.16724253419714952,0.09772799234999159,0.06951454184715793
curl,7f4a9a9b2a49547eae24d2e19bc5c346e9026479,39ce47f219b09c380b81f89fe54ac586c8db6bde,CVE-2021-22901,lib/vtls/openssl.c,lib/http.c,138498,139561,3758,3523,1.066704513198978,0.3368915012975005,0.3143977520546229,0.022493749242877614,0.2620976476194602,0.2502489950630907,0.011848652556369521,0.6811000448378377,0.6757608213076607,0.0053392235301770175,0.19850984566258648,0.1643485665625887,0.03416127909999778,0.21446582428318822,0.15410966153495237,0.06035616274823585
curl,7f4a9a9b2a49547eae24d2e19bc5c346e9026479,39ce47f219b09c380b81f89fe54ac586c8db6bde,CVE-2021-22901,lib/vtls/rustls.c,lib/asyn-thread.c,19458,19129,532,597,0.8911222780569514,0.3126711492706192,0.2962098482872517,0.016461300983367455,0.2731010381334156,0.2779549375294056,-0.004853899395990013,0.754140121493257,0.7216842986670655,0.03245582282619153,0.12406015037593984,0.08375209380234507,0.04030805657359478,0.0,0.0,0.0
curl,7f4a9a9b2a49547eae24d2e19bc5c346e9026479,39ce47f219b09c380b81f89fe54ac586c8db6bde,CVE-2021-22901,lib/vtls/schannel.c,src/tool_getparam.c,83200,80035,2005,2145,0.9347319347319347,0.3134535251617451,0.3221190043116342,-0.008665479149889133,0.2296153846153846,0.23208596239145374,-0.002470577776069127,0.7022843864408673,0.6595890522386121,0.04269533420225524,0.1685785536159601,0.2606060606060606,-0.09202750699010051,0.13196721209469953,0.10901124196642886,0.022955970128270664
curl,7f4a9a9b2a49547eae24d2e19bc5c346e9026479,39ce47f219b09c380b81f89fe54ac586c8db6bde,CVE-2021-22901,lib/vtls/sectransp.c,lib/url.c,126803,131153,2988,3325,0.8986466165413534,0.3160432521296702,0.28581354867248465,0.030229703457185564,0.2161778506817662,0.2535054478357338,-0.03732759715396761,0.6912734068554459,0.6378088991742026,0.053464507681243334,0.17938420348058903,0.08180451127819549,0.09757969220239354,0.18423503434138072,0.15584207132686637,0.028392963014514355
curl,7f4a9a9b2a49547eae24d2e19bc5c346e9026479,39ce47f219b09c380b81f89fe54ac586c8db6bde,CVE-2021-22901,lib/vtls/vtls.c,lib/x509asn1.c,38326,36098,1116,1072,1.041044776119403,0.3035337972633833,0.32229028660728914,-0.018756489343905836,0.25893649219850756,0.2519253144218516,0.007011177776655941,0.7186656165947094,0.6952096616788265,0.023455954915882926,0.12455197132616487,0.2537313432835821,-0.12917937195741724,0.03487281542310772,0.0,0.03487281542310772
curl,7f4a9a9b2a49547eae24d2e19bc5c346e9026479,39ce47f219b09c380b81f89fe54ac586c8db6bde,CVE-2021-22901,lib/vtls/vtls.h,lib/curl_setup_once.h,13998,13421,258,379,0.6807387862796834,0.285643364096134,0.2969764270228752,-0.011333062926741189,0.27161023003286183,0.27285597198420386,-0.0012457419513420276,0.7307938112303557,0.7197913436786763,0.01100246755167944,0.03875968992248062,0.09762532981530343,-0.05886563989282281,0.0,0.0,0.0
curl,7f4a9a9b2a49547eae24d2e19bc5c346e9026479,39ce47f219b09c380b81f89fe54ac586c8db6bde,CVE-2021-22901,lib/vtls/wolfssl.c,lib/vssh/wolfssh.c,35830,34659,945,992,0.9526209677419355,0.3271419643886697,0.2888422002661353,0.03829976412253444,0.26622941668992467,0.21694220837300557,0.0492872083169191,0.7309099066180398,0.7080158947008279,0.022894011917211854,0.17989417989417988,0.13608870967741934,0.04380547021676054,0.06036263449861927,0.029001884693261815,0.031360749805357455
