repo,snapshot_tag,snapshot_commit,advisory_id,fixed_commit,file_path,published_at,severity_label,source_family,mapping_basis,review_decision,reviewer,notes
go-gitea-gitea,v1.17.0-dev,4563148a61ba892e8f2bb66342f00a950bcd5315,GHSA-VW2C-22J4-2FH2,a036507204fabd1d7cff3577692bc7d8e4ef7395,modules/git/git.go,2022-06-17T05:49:38+00:00,UNKNOWN,explicit_only,explicit_id,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
go-gitea-gitea,v1.20.0-rc0,eac1bddb8da2e26a3f6d6678b9888c65418cf318,CVE-2023-3515,9aaaf980f0ba15611f30568bd67bce3ec12954e2,modules/context/context_response.go,2023-07-05T14:12:33+00:00,LOW,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
go-gitea-gitea,v1.20.0-rc0,eac1bddb8da2e26a3f6d6678b9888c65418cf318,CVE-2023-48795,11f0519ad852809d842e3382595579d8f3ffbc87,modules/git/repo_commitgraph_gogit.go,2023-12-19T01:18:42+00:00,UNKNOWN,explicit_only,explicit_id,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
prometheus-prometheus,v2.13.0,6ea4252299f542669aca11860abc2192bdc7bede,CVE-2021-29622,6eeded0fdf760e81af75d9c44ce539ab77da4505,web/web.go,2021-05-19T20:15:07+00:00,MEDIUM,explicit_plus_range,explicit_id+osv_range,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
prometheus-prometheus,v2.13.0,6ea4252299f542669aca11860abc2192bdc7bede,CVE-2021-3121,cf269b7dddc3704d9fe6715dab09068f3c16e04e,prompb/remote.pb.go,2021-02-08T16:30:46+00:00,UNKNOWN,explicit_only,explicit_id,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
prometheus-prometheus,v2.13.0,6ea4252299f542669aca11860abc2192bdc7bede,CVE-2021-3121,cf269b7dddc3704d9fe6715dab09068f3c16e04e,prompb/types.pb.go,2021-02-08T16:30:46+00:00,UNKNOWN,explicit_only,explicit_id,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
prometheus-prometheus,v2.13.0,6ea4252299f542669aca11860abc2192bdc7bede,GHSA-VX57-7F4Q-FPC7,6eeded0fdf760e81af75d9c44ce539ab77da4505,web/web.go,2021-05-18T12:47:45+00:00,UNKNOWN,explicit_only,explicit_id,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
prometheus-prometheus,v2.20.0-rc.1,113d1672dcf990452baef67e722a7308508dc57e,CVE-2021-29622,6eeded0fdf760e81af75d9c44ce539ab77da4505,web/web.go,2021-05-19T20:15:07+00:00,MEDIUM,explicit_plus_range,explicit_id+osv_range,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
prometheus-prometheus,v2.20.0-rc.1,113d1672dcf990452baef67e722a7308508dc57e,CVE-2021-3121,cf269b7dddc3704d9fe6715dab09068f3c16e04e,prompb/remote.pb.go,2021-02-08T16:30:46+00:00,UNKNOWN,explicit_only,explicit_id,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
prometheus-prometheus,v2.20.0-rc.1,113d1672dcf990452baef67e722a7308508dc57e,CVE-2021-3121,cf269b7dddc3704d9fe6715dab09068f3c16e04e,prompb/types.pb.go,2021-02-08T16:30:46+00:00,UNKNOWN,explicit_only,explicit_id,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
